DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,Latitude,Longitude,LASTUPDATE,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP 1A, UPPER G/F, HARRY IND'L BUILDING, 49-51 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭 坳背灣街49-51號 協力工業大廈 高層地下1A鋪,Sha Tin,沙田區,2997001060,2997001060,97,97,FF,FF,華愛庭,華愛庭,,,9/6/2025,9/6/2025,22.3983957,114.1936315,6/6/2024,828791.6918,837993.5025,837993.5025,828791.6918
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Factory Canteen Licence,工廠食堂,"BLOCK H J & L, 2/F, INTERNATIONAL IND'L CENTRE, 2-8 KWEI TEI STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭 桂地街2-8號 國際工業中心 2樓H J 及L座,Sha Tin,沙田區,2597000151,2597000151,97,97,FE,FE,國際食堂,國際食堂,,,30/6/2025,30/6/2025,22.400549,114.1921453,17/5/2024,829030.1228,837840.4423,837840.4423,829030.1228
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT G, 8/F, ON WAH IND'L BUILDING, 41-43 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭 坳背灣街41-43號 安華工業大廈 8樓G室,Sha Tin,沙田區,2997000100,2997000100,97,97,FF,FF,Add Fortune Investment Limited,利加投資有限公司,,,30/9/2025,30/9/2025,22.3977532,114.1946206,16/8/2024,828720.5558,838095.3599,838095.3599,828720.5558
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT F, G , 5/F, ON WAH INDUSTRIAL BUILDING, 41-43 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES","新界沙田火炭 坳背灣街41-43號 安華工業大廈 5樓F,G室",Sha Tin,沙田區,2997000429,2997000429,97,97,FF,FF,YHY,東東,,,30/9/2025,30/9/2025,22.3976893,114.1945139,17/9/2024,828713.4785,838084.3736,838084.3736,828713.4785
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"UNIT NO 4, 8/F, BLOCK A, VERISTRONG IND'L CENTRE, 34-36 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭坳背灣街34-36號豐盛工業 中心A座8樓4室,Sha Tin,沙田區,2997000535,2997000535,97,97,FF,FF,候信興糕品廠,候信興糕品廠,,,30/9/2025,30/9/2025,22.3995977,114.193191,24/7/2024,828924.7912,837948.1292,837948.1292,828924.7912
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Factory Canteen Licence,工廠食堂,"UNIT 4B, G/F, VERISTRONG INDUSTRIAL CENTRE, 34-36 AU PUI WAN STREET, SHA TIN, NEW TERRITORIES",新界沙田 坳背灣街34-36號 豐盛工業中心 4B地下,Sha Tin,沙田區,2597000337,2597000337,97,97,FE,FE,大快樂食堂,大快樂食堂,,,11/12/2025,11/12/2025,22.3995977,114.193191,12/11/2024,828924.7912,837948.1292,837948.1292,828924.7912
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NO 311, HENG ON SHOPPING CENTRE, HENG ON ESTATE, MA ON SHAN, SHA TIN, NEW TERRITORIES",新界沙田馬鞍山 恒安邨恒安商場 311號鋪,Sha Tin,沙田區,2997002054,2997002054,97,97,FF,FF,BREAD CITY CAKE SHOP,麵包城,,,5/6/2025,5/6/2025,22.4167292,114.2278602,18/4/2024,830822.6635,841517.3876,841517.3876,830822.6635
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Factory Canteen Licence,工廠食堂,"SHOP NOS. 5 (PORTION A), G/F NEW COMMERCE CENTRE, 19 ON SUM STREET, SHA TIN, NEW TERRITORIES",新界沙田 安心街19號 匯貿中心 地下5號鋪 (A 部分),Sha Tin,沙田區,2597000300,2597000300,97,97,FE,FE,興記,興記,,,17/11/2025,17/11/2025,22.3891,114.2071925,5/11/2024,827762.5449,839390.1042,839390.1042,827762.5449
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT K & L, 13/F, ON WAH IND'L BUILDING, 41-43 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭 坳背灣街41-43號 安華工業大廈 13樓K及L室,Sha Tin,沙田區,2997001282,2997001282,97,97,FF,FF,YHY Ltd,東東,,,6/4/2025,6/4/2025,22.3977532,114.1946206,15/2/2024,828720.5558,838095.3599,838095.3599,828720.5558
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT A B & D, 12/F, ON SHING INDUSTRIAL BUILDING, 2-16 WO LIU HANG ROAD, SHA TIN, NEW TERRITORIES","新界沙田 禾寮坑路2-16號 安盛工業大廈12樓 A, B 及D 室",Sha Tin,沙田區,2997000012,2997000012,97,97,FF,FF,Wah Yuen,華園,#J,#J,30/9/2025,30/9/2025,22.3969945,114.1969753,23/8/2024,828636.5712,838337.8388,838337.8388,828636.5712
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT 1615, 16/F, TECHNOLOGY PARK, 18 ON LAI STREET, SHA TIN, NEW TERRITORIES",新界沙田 安麗街18號 達利廣場 16樓1615室,Sha Tin,沙田區,2997002674,2997002674,97,97,FF,FF,Onda Pastry,Onda Pastry,,,4/7/2025,4/7/2025,22.3889086,114.2074148,3/7/2024,827741.3547,839413.0006,839413.0006,827741.3547
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"KIOSK NO.4, SHA TIN PARK, 2 YUEN WO ROAD, SHA TIN, NEW TERRITORIES",新界沙田 源禾路2號 沙田公園 4號小食亭,Sha Tin,沙田區,2997002577,2997002577,97,97,FF,FF,Refreshment Kiosk,小食亭,,,20/2/2026,20/2/2026,22.3795777,114.1901434,7/2/2025,826707.8328,837634.5127,837634.5127,826707.8328
